title,date,stock,NewsDate,Ticker,TradeDate,ClosePrice,NextClose,Return1D,UpDownLabel
"BofA Raises Amazon Target On Sales Upside, Accelerating Unit Growth",2020-06-09 16:35:00+00:00,EBAY,2020-06-09,EBAY,2020-06-09,45.4743537902832,45.01731872558594,-0.010050391629642537,0
"Benzinga's Top Upgrades, Downgrades For June 9, 2020",2020-06-09 13:45:00+00:00,EBAY,2020-06-09,EBAY,2020-06-09,45.4743537902832,45.01731872558594,-0.010050391629642537,0
"Wells Fargo Upgrades eBay to Equal-Weight, Announces $50 Price Target",2020-06-09 10:18:00+00:00,EBAY,2020-06-09,EBAY,2020-06-09,45.4743537902832,45.01731872558594,-0.010050391629642537,0
"RBC Capital Maintains Sector Perform on eBay, Raises Price Target to $45",2020-06-08 13:03:00+00:00,EBAY,2020-06-08,EBAY,2020-06-08,44.53287124633789,45.4743537902832,0.021141294454997312,1
"Benchmark Maintains Buy on eBay, Raises Price Target to $60",2020-06-05 14:19:00+00:00,EBAY,2020-06-05,EBAY,2020-06-05,44.6242790222168,44.53287124633789,-0.002048386615577535,0
"SunTrust Robinson Humphrey Maintains Hold on eBay, Raises Price Target to $50",2020-06-05 14:01:00+00:00,EBAY,2020-06-05,EBAY,2020-06-05,44.6242790222168,44.53287124633789,-0.002048386615577535,0
"Benzinga's Top Upgrades, Downgrades For June 5, 2020",2020-06-05 13:56:00+00:00,EBAY,2020-06-05,EBAY,2020-06-05,44.6242790222168,44.53287124633789,-0.002048386615577535,0
"Morgan Stanley Maintains Equal-Weight on eBay, Raises Price Target to $52",2020-06-05 13:38:00+00:00,EBAY,2020-06-05,EBAY,2020-06-05,44.6242790222168,44.53287124633789,-0.002048386615577535,0
"Credit Suisse Maintains Outperform on eBay, Raises Price Target to $53",2020-06-05 12:26:00+00:00,EBAY,2020-06-05,EBAY,2020-06-05,44.6242790222168,44.53287124633789,-0.002048386615577535,0
10 Biggest Price Target Changes For Friday,2020-06-05 12:22:00+00:00,EBAY,2020-06-05,EBAY,2020-06-05,44.6242790222168,44.53287124633789,-0.002048386615577535,0
"Benzinga Pro's Top 5 Stocks To Watch For Fri., Jun. 5, 2020: WOR, ETSY, FOUR, SFIX, GNSS",2020-06-05 12:18:00+00:00,EBAY,2020-06-05,EBAY,2020-06-05,44.6242790222168,44.53287124633789,-0.002048386615577535,0
"BMO Capital Downgrades eBay to Market Perform, Raises Price Target to $52",2020-06-05 11:40:00+00:00,EBAY,2020-06-05,EBAY,2020-06-05,44.6242790222168,44.53287124633789,-0.002048386615577535,0
eBay Shares Spike Over $50 Level On Large Uptick In Volume; Hearing Co. Mentioned On CNBC,2020-06-04 16:26:00+00:00,EBAY,2020-06-04,EBAY,2020-06-04,45.11787033081055,44.6242790222168,-0.010940040054520955,0
Stocks That Hit 52-Week Highs On Thursday,2020-06-04 14:48:00+00:00,EBAY,2020-06-04,EBAY,2020-06-04,45.11787033081055,44.6242790222168,-0.010940040054520955,0
"EBay shares are trading higher after the company raised Q2 guidance. The company also expects Q2 volume growth to be 23-26% on a year-over-year basis, and also reported roughly 6 million new and reactivated buyers in April and May.",2020-06-04 13:24:00+00:00,EBAY,2020-06-04,EBAY,2020-06-04,45.11787033081055,44.6242790222168,-0.010940040054520955,0
"eBay Shares Up 6% Following Raised Guidance, Strong Apr., May Figures; Watching Other E-Commerce/Marketplace-Related Stocks, Including Etsy, Wayfair, Shopify",2020-06-04 13:07:00+00:00,EBAY,2020-06-04,EBAY,2020-06-04,45.11787033081055,44.6242790222168,-0.010940040054520955,0
