title,stock,Ticker,NewsDate,ClosePrice,NextClose,Return1D,UpDownLabel
"Wells Fargo Maintains Outperform on eBay, Lowers Price Target to $34",EBAY,EBAY,2018-12-21,23.738672256469727,23.345701217651367,-0.0165540445806213,0
10 Biggest Price Target Changes For Wednesday,EBAY,EBAY,2018-12-12,25.93570327758789,25.917835235595703,-0.000688936089411,0
"Benzinga's Top Upgrades, Downgrades For December 12, 2018",EBAY,EBAY,2018-12-12,25.93570327758789,25.917835235595703,-0.000688936089411,0
Morgan Stanley Downgrades eBay On Slower GMV Growth,EBAY,EBAY,2018-12-12,25.93570327758789,25.917835235595703,-0.000688936089411,0
UPDATE: Morgan Stanley On eBay Downgrade Notes Gross Merchandise Value Has Grown Slower Than Expected In All 3 Quarters Since The Firm's April Upgrade,EBAY,EBAY,2018-12-12,25.93570327758789,25.917835235595703,-0.000688936089411,0
UPDATE: Morgan Stanley On eBay Downgrade: Sees Lack Of Growth In US Marketplaces Segment 'likely to hold back the multiple investors pay for eBay',EBAY,EBAY,2018-12-12,25.93570327758789,25.917835235595703,-0.000688936089411,0
31 Stocks Moving In Wednesday's Pre-Market Session,EBAY,EBAY,2018-12-12,25.93570327758789,25.917835235595703,-0.000688936089411,0
"Morgan Stanley Downgrades eBay to Equal-Weight, Lowers Price Target to $33",EBAY,EBAY,2018-12-12,25.93570327758789,25.917835235595703,-0.000688936089411,0
Morgan Stanley Downgrades Ebay to Equal Weight from Overweight; Lowers Price Target to $33 from $55,EBAY,EBAY,2018-12-12,25.93570327758789,25.917835235595703,-0.000688936089411,0
"November Markets: Stocks Plunge On Oil, China-U.S. Tensions, Then Rebound",EBAY,EBAY,2018-11-30,26.65911293029785,26.97170639038086,0.0117255761997897,1
Cyber Monday Gives E-Commerce ETF A Modest Boost,EBAY,EBAY,2018-11-27,25.667774200439453,26.578733444213867,0.0354903871547544,1
Seeing Spike In eBay Shares; Shares Up 1.0% For The Session,EBAY,EBAY,2018-11-23,25.39984130859375,25.72135353088379,0.0126580405910354,1
eBay Reports Black Friday Deals This Week With 'Better than Black Friday' To Beat Or Match Competitors' Black Friday Deals,EBAY,EBAY,2018-11-12,25.864255905151367,25.09618377685547,-0.0296962777940548,0
"Citigroup Maintains Buy on eBay, Raises Price Target to $43",EBAY,EBAY,2018-11-01,26.364389419555664,26.676979064941406,0.0118565099464765,1
"eBay Received Favorable Tax Ruling In Connection With Ongoing Realignment Of Legal Structure, Sees Recording $389M Income Tax Benefit",EBAY,EBAY,2018-10-31,25.92677879333496,26.364389419555664,0.0168787117639619,1
What To Do With eBay Now? Analysts Debate,EBAY,EBAY,2018-10-31,25.92677879333496,26.364389419555664,0.0168787117639619,1
"Raymond James Maintains Outperform on eBay, Raises Price Target to $35",EBAY,EBAY,2018-10-31,25.92677879333496,26.364389419555664,0.0168787117639619,1
"Citigroup Maintains Buy on eBay, Raises Price Target to $43",EBAY,EBAY,2018-10-31,25.92677879333496,26.364389419555664,0.0168787117639619,1
"Deutsche Bank Maintains Buy on eBay, Lowers Price Target to $37",EBAY,EBAY,2018-10-31,25.92677879333496,26.364389419555664,0.0168787117639619,1
"Canaccord Genuity Maintains Hold on eBay, Lowers Price Target to $30",EBAY,EBAY,2018-10-31,25.92677879333496,26.364389419555664,0.0168787117639619,1
"KeyBanc Maintains Overweight on eBay, Lowers Price Target to $43",EBAY,EBAY,2018-10-31,25.92677879333496,26.364389419555664,0.0168787117639619,1
"eBay Sees FY18 Sales $10.72B-$10.76B vs $10.77B Estimate, Adj. EPS $2.29-$2.31 vs $2.27 Est.",EBAY,EBAY,2018-10-30,24.48887634277344,25.92677879333496,0.0587165548322856,1
"eBay Sees Q4 Sales $2.85B-$2.89B vs $2.9B Estimate, Adj. EPS $0.67-$0.69 vs $0.67 Est.",EBAY,EBAY,2018-10-30,24.48887634277344,25.92677879333496,0.0587165548322856,1
"eBay Q3 EPS $0.56 Beats $0.55 Estimate, Sales $2.649B Miss $2.66B Estimate",EBAY,EBAY,2018-10-30,24.48887634277344,25.92677879333496,0.0587165548322856,1
EBay Shares Up 3.1% As Co. Is Expected To Report Q3 Earnings After The closing Bell Today; Co. Historically Issues Its Report Around 4:15 p.m. ET,EBAY,EBAY,2018-10-30,24.48887634277344,25.92677879333496,0.0587165548322856,1
"Stocks Which Set New 52-Week Low Yesterday, October 29th",EBAY,EBAY,2018-10-30,24.48887634277344,25.92677879333496,0.0587165548322856,1
A Peek Into The Markets: US Stock Futures Gain Ahead Of Earnings,EBAY,EBAY,2018-10-30,24.48887634277344,25.92677879333496,0.0587165548322856,1
"14 Stocks To Watch For October 30, 2018",EBAY,EBAY,2018-10-30,24.48887634277344,25.92677879333496,0.0587165548322856,1
"Earnings Scheduled For October 30, 2018",EBAY,EBAY,2018-10-30,24.48887634277344,25.92677879333496,0.0587165548322856,1
"Benzinga's Week Ahead: Can Facebook, Apple Earnings Rescue The Stock Market?",EBAY,EBAY,2018-10-29,23.953012466430664,24.48887634277344,0.0223714606709186,1
"Credit Suisse Maintains Outperform on eBay, Lowers Price Target to $52",EBAY,EBAY,2018-10-29,23.953012466430664,24.48887634277344,0.0223714606709186,1
"Stocks Which Set New 52-Week Low Friday, October 26th",EBAY,EBAY,2018-10-29,23.953012466430664,24.48887634277344,0.0223714606709186,1
"Switch's Guidance 'Achievable,' Wells Fargo Says In Upgrade Ahead Of Q3 Print",EBAY,EBAY,2018-10-25,25.060461044311523,24.41742706298828,-0.0256593037209586,0
"Stocks Which Set New 52-Week Low Yesterday, October 23rd",EBAY,EBAY,2018-10-24,24.37277603149414,25.060461044311523,0.0282152928303598,1
"Macquarie On Large-Cap Internet Names: Facebook Is Top Pick Into Q3 Earnings, Also Likes Apple, Amazon; Remains Cautious On eBay, Twitter Despite Recent Sell Offs",EBAY,EBAY,2018-10-24,24.37277603149414,25.060461044311523,0.0282152928303598,1
"PayPal Sneezes, eBay Catches A Cold: RBC Downgrades Online Auction Platform On Negative Data",EBAY,EBAY,2018-10-23,25.176563262939453,24.37277603149414,-0.0319260108320069,0
"Stocks Which Set New 52-Week Low Yesterday, October 22nd",EBAY,EBAY,2018-10-23,25.176563262939453,24.37277603149414,-0.0319260108320069,0
10 Biggest Price Target Changes For Tuesday,EBAY,EBAY,2018-10-23,25.176563262939453,24.37277603149414,-0.0319260108320069,0
"Benzinga's Top Upgrades, Downgrades For October 23, 2018",EBAY,EBAY,2018-10-23,25.176563262939453,24.37277603149414,-0.0319260108320069,0
"Raymond James Maintains Outperform on eBay, Lowers Price Target to $34",EBAY,EBAY,2018-10-23,25.176563262939453,24.37277603149414,-0.0319260108320069,0
RBC Capital Downgrades eBay to Sector Perform,EBAY,EBAY,2018-10-23,25.176563262939453,24.37277603149414,-0.0319260108320069,0
"Hearing RBC Downgraded eBay From Outperform To Sector Perform, Unconfirmed",EBAY,EBAY,2018-10-22,25.444496154785156,25.176563262939453,-0.0105300922531851,0
